Annual government expenditure by function (COFOG),,,,,,,,,,
Institutional sector: Central government,,,,,,,,,,
Accounting entry: Expenditure,,,,,,,,,,
Transaction: Total government expenditure,,,,,,,,,,
Valuation: Standard valuation based on SNA/ESA,,,,,,,,,,
,,,,,,,,,,
Time period,Time period,2014,2015,2016,2017,2018,2019,2020,2021,2022
Expenditure,,,,,,,,,,
Reference area: Belgium,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"124.706,60","114.993,50","118.053,70","118.937,40","122.228,60","126.815,40","142.190,70","146.248,80","P   151.738,50"
·  Defence,,"3.530,00","3.450,00","3.457,50","3.520,70","3.481,20","3.769,50","4.138,80","4.452,80","P   5.439,40"
·  ·  Military defence,,"3.437,90","3.338,20","3.261,80","3.317,70","3.334,30","3.628,50","4.007,40","4.296,70","P   5.175,10"
·  ·  Civil defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","P   0,00"
·  ·  Foreign military aid,,"69,40","91,30","170,50","179,80","119,30","113,30","102,30","126,80","P   231,60"
·  ·  R&D Defence,,"22,10","20,00","25,10","23,00","27,40","27,50","29,00","29,10","P   32,50"
·  ·  Defence n.e.c.,,"0,60","0,50","0,20","0,20","0,20","0,20","0,20","0,20","P   0,20"
·  Health,,"3.403,60","3.430,50","3.326,10","512,70","541,20","703,80","1.922,40","1.955,10","P   1.691,20"
·  Education,,"5.966,20","6.176,50","114,80","117,60","0,60","0,50","0,40","0,40","P   0,40"
Reference area: Colombia,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Colombian peso",,,,,,,,,,
Total,,"102.717.000,00","107.383.000,00","115.418.000,00","124.008.000,00","127.483.000,00","137.003.000,00","150.760.000,00","177.439.000,00",
·  Defence,,"9.922.000,00","9.988.000,00","10.813.000,00","11.004.000,00","10.854.000,00","12.136.000,00","12.619.000,00","13.358.000,00",
·  ·  Military defence,,"9.742.000,00","9.847.000,00","10.644.000,00","10.806.000,00","10.979.000,00","11.820.000,00","11.954.000,00",,
·  ·  Civil defence,,"0,00","0,00","0,00","0,00","23.000,00","15.000,00","17.000,00",,
·  ·  Foreign military aid,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,
·  ·  R&D Defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,
·  ·  Defence n.e.c.,,"180.000,00","140.000,00","169.000,00","198.000,00","428.000,00","535.000,00","561.000,00",,
·  Health,,"2.463.000,00","2.646.000,00","2.807.000,00","3.064.000,00","1.553.000,00","2.232.000,00","1.969.000,00","6.006.000,00",
·  Education,,"8.276.000,00","9.596.000,00","9.938.000,00","10.739.000,00","13.954.000,00","13.634.000,00","13.317.000,00","15.054.000,00",
Reference area: France,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"499.000,00","507.544,00","522.259,00","537.824,00","534.935,00","546.286,00","590.183,00","P   612.426,00","P   641.464,00"
·  Defence,,"36.191,00","38.499,00","42.727,00","40.766,00","41.576,00","42.416,00","44.289,00","P   44.089,00","P   48.338,00"
·  ·  Military defence,,"31.350,00","33.463,00","36.414,00","34.564,00","34.983,00","35.741,00","38.622,00","P   38.037,00","P   42.372,00"
·  ·  Civil defence,,"148,00","154,00","190,00","206,00","199,00","197,00","200,00","P   228,00","P   261,00"
·  ·  Foreign military aid,,"2.010,00","1.973,00","2.189,00","1.955,00","1.972,00","1.869,00","1.914,00","P   1.974,00","P   1.859,00"
·  ·  R&D Defence,,"1.266,00","1.301,00","1.262,00","1.283,00","1.348,00","1.404,00","1.426,00","P   1.408,00","P   1.357,00"
·  ·  Defence n.e.c.,,"1.417,00","1.607,00","2.673,00","2.758,00","3.074,00","3.206,00","2.126,00","P   2.441,00","P   2.489,00"
·  Health,,"5.366,00","5.131,00","8.068,00","8.410,00","8.475,00","8.596,00","13.385,00","P   14.134,00","P   17.056,00"
·  Education,,"82.648,00","84.125,00","85.565,00","87.962,00","90.190,00","91.794,00","92.265,00","P   95.435,00","P   100.190,00"
Reference area: Germany,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"373.081,00","380.149,00","392.654,00","414.833,00","421.164,00","435.393,00","P   508.327,00","P   615.721,00","P   626.251,00"
·  Defence,,"29.632,00","30.853,00","32.427,00","35.221,00","37.552,00","39.106,00","P   40.948,00","P   42.158,00","P   42.890,00"
·  Health,,"5.687,00","5.828,00","6.014,00","6.294,00","6.539,00","6.816,00","P   26.416,00","P   39.338,00","P   51.710,00"
·  Education,,"10.861,00","12.986,00","13.739,00","14.746,00","15.281,00","15.260,00","P   16.096,00","P   16.403,00","P   17.256,00"
Reference area: Greece,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"70.116,00","73.806,00","67.476,00","65.503,00","67.078,00","64.604,00","75.845,00","79.799,00","83.868,00"
·  Defence,,"4.757,00","4.443,00","3.706,00","4.486,00","4.070,00","3.630,00","4.244,00","5.039,00","5.392,00"
·  ·  Military defence,,"4.757,00","4.443,00","3.706,00","4.486,00","4.070,00","3.630,00","4.244,00","5.034,00","5.390,00"
·  ·  Civil defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
·  ·  Foreign military aid,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00","2,00"
·  ·  R&D Defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
·  ·  Defence n.e.c.,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
·  Health,,"4.449,00","4.379,00","4.619,00","4.917,00","5.237,00","5.366,00","5.729,00","6.639,00","6.632,00"
·  Education,,"7.237,00","7.025,00","6.676,00","6.569,00","6.966,00","6.931,00","7.089,00","7.101,00","7.426,00"
Reference area: Hungary,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Forint",,,,,,,,,,
Total,,"12.044.457,00","12.320.145,00","11.898.345,00","13.347.871,16","14.482.135,00","15.756.986,45","18.904.995,33","21.319.331,91","25.763.814,75"
·  Defence,,"191.758,00","234.155,00","281.624,00","423.265,00","401.987,00","487.099,00","528.312,00","611.385,31","922.922,00"
·  ·  Military defence,,"179.162,00","220.827,00","266.024,00","406.973,00","385.984,00","465.964,00","512.753,00","591.798,00","905.560,00"
·  ·  Civil defence,,"2.084,00","2.103,00","1.685,00","3.076,00","1.809,00","1.710,00","682,00","2,00","27,00"
·  ·  Foreign military aid,,"10.497,00","10.788,00","13.782,00","13.017,00","14.100,00","19.165,00","14.609,00","15.024,00","16.556,00"
·  ·  R&D Defence,,"0,00","382,00","117,00","27,00","27,00","183,00","256,00","195,00","197,00"
·  ·  Defence n.e.c.,,"15,00","55,00","16,00","172,00","67,00","77,00","12,00","4.366,31","582,00"
·  Health,,"1.814.333,00","1.725.989,00","1.456.928,00","1.579.135,00","1.829.231,00","1.837.862,00","2.931.823,00","3.344.539,94","3.436.691,61"
·  Education,,"1.554.461,00","1.663.017,00","1.663.127,00","1.870.060,00","2.059.461,00","2.103.951,00","2.179.434,77","2.639.125,94","3.190.631,88"
Reference area: Italy,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"502.389,00","509.877,00","522.253,00","528.888,00","527.679,00","527.001,00","621.932,00","682.888,00","720.837,00"
·  Defence,,"19.342,00","19.710,00","21.975,00","22.280,00","22.193,00","22.711,00","22.622,00","24.850,00","24.916,00"
·  ·  Military defence,,"18.017,00","18.321,00","20.591,00","20.734,00","20.618,00","21.321,00","20.861,00","23.056,00","23.007,00"
·  ·  Civil defence,,"3,00","5,00","5,00","4,00","8,00","41,00","52,00","54,00","36,00"
·  ·  Foreign military aid,,"994,00","1.063,00","1.075,00","1.234,00","1.300,00","1.080,00","1.350,00","1.327,00","1.390,00"
·  ·  R&D Defence,,"86,00","79,00","71,00","41,00","49,00","49,00","60,00","73,00","81,00"
·  ·  Defence n.e.c.,,"242,00","242,00","233,00","267,00","218,00","220,00","299,00","340,00","402,00"
·  Health,,"62.336,00","55.779,00","70.895,00","76.137,00","78.876,00","88.483,00","93.211,00","91.825,00","89.945,00"
·  Education,,"54.318,60","54.334,90","54.791,30","56.170,10","58.830,80","58.558,70","59.738,00","62.127,80","66.774,60"
Reference area: Japan,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Yen",,,,,,,,,,
Total,,"94.496.500,00","94.258.500,00","93.292.100,00","92.661.600,00","92.648.800,00","94.949.800,00","130.915.600,00","123.013.600,00","120.237.600,00"
·  Defence,,"4.933.800,00","4.941.300,00","4.618.900,00","5.123.800,00","5.147.900,00","5.283.800,00","5.095.700,00","5.770.800,00","5.440.400,00"
·  Health,,"10.428.400,00","10.464.600,00","10.476.000,00","10.541.200,00","10.710.000,00","10.811.900,00","15.164.200,00","17.071.800,00","17.114.800,00"
·  Education,,"6.030.600,00","5.823.200,00","5.543.100,00","5.601.300,00","5.634.200,00","5.705.700,00","6.410.900,00","6.242.200,00","6.152.900,00"
Reference area: Korea,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Won",,,,,,,,,,
Total,,"E   292.165.300,00","E   305.950.800,00","E   314.795.100,00","E   328.665.000,00","E   351.219.500,00","E   394.641.500,00","E   433.032.300,00","E   473.787.200,00",
·  Defence,,"38.225.200,00","40.233.800,00","41.129.900,00","41.447.300,00","46.388.000,00","49.406.400,00","51.862.900,00","55.386.400,00",
·  Health,,"7.668.800,00","8.592.000,00","10.051.600,00","9.831.000,00","10.743.400,00","12.845.200,00","17.021.400,00","22.161.300,00",
·  Education,,"53.761.700,00","56.138.100,00","59.074.900,00","66.374.700,00","72.358.300,00","80.908.900,00","78.257.900,00","85.393.500,00",
Reference area: Netherlands,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"179.038,00","186.764,00","187.445,00","187.212,00","197.235,00","210.496,00","248.157,00","269.489,00","279.963,00"
·  Defence,,"7.288,00","7.708,00","8.015,00","8.531,00","9.074,00","10.000,00","10.737,00","11.029,00","12.605,00"
·  ·  Military defence,,"6.015,00","6.400,00","6.955,00","7.596,00","8.094,00","9.278,00","9.962,00","10.206,00","11.147,00"
·  ·  Civil defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
